NEGERI,TAHUN,BUNUH,ROGOL,SAMUN BERKAWAN BERS/API,SAMUN BERKAWAN TANPA BERS/API,SAMUN BERSENJATAPI,SAMUN TANPA S/API,MENCEDERAKAN,CURI,CURI MOTOKAR,CURI MOTOSIKAL,CURI VAN/LORI/J'BERAT,CURI RAGUT,PECAH RUMAH DAN CURI
MELAKA ,2015,8,82,2,208,0,94,192,418,167,1304,26,2,445
NEGERI SEMBILAN ,2015,22,117,2,700,1,174,263,1008,244,1167,73,18,998
PAHANG ,2015,18,94,2,256,0,57,250,727,329,1594,93,42,795
PERAK ,2015,50,92,8,601,0,165,372,966,399,2203,165,73,1134
PERLIS ,2015,1,31,0,18,0,7,85,92,28,358,3,16,102
PULAU PINANG ,2015,32,77,5,573,2,199,324,969,494,2488,154,231,1150
SABAH ,2015,36,215,3,167,0,89,263,1588,248,792,132,99,1544
SARAWAK ,2015,37,148,10,194,2,100,362,1178,840,2778,200,108,1273
SELANGOR ,2015,137,309,5,4149,1,765,1217,4157,3932,9794,1326,950,5805
TERENG- GANU ,2015,8,110,1,60,0,64,134,448,237,1245,30,21,301
Jumlah,2015,499,2047,62,10718,14,2954,5516,18078,12049,38565,3395,2362,19286
