Year,State,Age Group,Total ('000),Male ('000),Female ('000)
2013,Johor,0 - 4,287.6,149.5,138.2
2013,Johor,5 - 9,294.1,151.8,142.2
2013,Johor,10 - 14,317.6,164.2,153.4
2013,Johor,15 - 19,309.5,162.2,147.4
2013,Johor,20 - 24,325.4,177.6,147.8
2013,Johor,25 - 29,328.7,181.5,147.3
2013,Johor,30 - 34,296,160.4,135.6
2013,Johor,35 - 39,243.7,131.2,112.5
2013,Johor,40 - 44,223.7,116.2,107.5
2013,Johor,45 - 49,204.7,106.3,98.4
2013,Johor,50 - 54,179.5,94.4,85
2013,Johor,55 - 59,146.9,74.7,72.2
2013,Johor,60 - 64,113,57.9,55.1
2013,Johor,65 - 69,80.1,41.2,38.9
2013,Johor,70 - 74,52.8,26.9,26
2013,Johor,75 - 79,36.3,17.9,18.4
2013,Johor,80 - 84,18.2,8.6,9.6
2013,Johor,85+,16.6,7.9,8.7
2013,Kedah,0 - 4,180.1,92.7,87.4
2013,Kedah,5 - 9,172.2,88,84.2
2013,Kedah,10 - 14,200.3,103.7,96.6
2013,Kedah,15 - 19,216.7,112.6,104.1
2013,Kedah,20 - 24,191.7,100.7,91
2013,Kedah,25 - 29,163.5,86.9,76.6
2013,Kedah,30 - 34,136.9,70.7,66.2
2013,Kedah,35 - 39,125.2,63.5,61.6
2013,Kedah,40 - 44,124,60.2,63.9
2013,Kedah,45 - 49,118.9,58.6,60.3
2013,Kedah,50 - 54,109.7,54.2,55.5
2013,Kedah,55 - 59,93.5,45.4,48.1
2013,Kedah,60 - 64,73.4,36,37.5
2013,Kedah,65 - 69,50.5,24.5,26
2013,Kedah,70 - 74,35.4,16.2,19.2
2013,Kedah,75 - 79,25.7,11.6,14.2
2013,Kedah,80 - 84,11.6,4.9,6.7
2013,Kedah,85+,10.4,4.2,6.3
2013,Kelantan,0 - 4,182.4,94,88.4
2013,Kelantan,5 - 9,170,88.4,81.6
2013,Kelantan,10 - 14,187.1,96.4,90.7
2013,Kelantan,15 - 19,201.1,103.5,97.6
2013,Kelantan,20 - 24,170.7,89.7,81.1
2013,Kelantan,25 - 29,112.2,59.7,52.5
2013,Kelantan,30 - 34,97.4,51.4,46
2013,Kelantan,35 - 39,86.6,42,44.6
2013,Kelantan,40 - 44,87.3,40.1,47.2
2013,Kelantan,45 - 49,88,41.1,47
2013,Kelantan,50 - 54,82.7,38.9,43.8
2013,Kelantan,55 - 59,67.8,31.9,35.9
2013,Kelantan,60 - 64,52.8,25.8,27
2013,Kelantan,65 - 69,39.2,18.8,20.5
2013,Kelantan,70 - 74,25.6,11.4,14.2
2013,Kelantan,75 - 79,16,7.2,8.9
2013,Kelantan,80 - 84,8.1,3.5,4.6
2013,Kelantan,85+,8.4,3.3,5.2
2013,Melaka,0 - 4,68.1,34.9,33.2
2013,Melaka,5 - 9,70,35.5,34.5
2013,Melaka,10 - 14,72.9,38,34.9
2013,Melaka,15 - 19,86.5,44.5,42.1
2013,Melaka,20 - 24,94.9,49.1,45.7
2013,Melaka,25 - 29,77.4,40.2,37.2
2013,Melaka,30 - 34,62.9,32.2,30.7
2013,Melaka,35 - 39,50.6,25.9,24.6
2013,Melaka,40 - 44,49.3,23.7,25.6
2013,Melaka,45 - 49,50.5,24,26.5
2013,Melaka,50 - 54,46.1,23.3,22.8
2013,Melaka,55 - 59,38.2,18.7,19.5
2013,Melaka,60 - 64,31,14.9,16
2013,Melaka,65 - 69,23.2,11,12.2
2013,Melaka,70 - 74,15.2,7.4,7.8
2013,Melaka,75 - 79,10.3,4.8,5.4
2013,Melaka,80 - 84,4.9,2.2,2.7
2013,Melaka,85+,4.8,2.1,2.8
2013,Negeri Sembilan,0 - 4,84.9,43.1,41.8
2013,Negeri Sembilan,5 - 9,89.5,46.8,42.6
2013,Negeri Sembilan,10 - 14,96.3,50.7,45.6
2013,Negeri Sembilan,15 - 19,105.4,56.8,48.6
2013,Negeri Sembilan,20 - 24,114.4,62.4,52
2013,Negeri Sembilan,25 - 29,98.1,53.2,44.9
2013,Negeri Sembilan,30 - 34,77.3,42.2,35.1
2013,Negeri Sembilan,35 - 39,68.2,35.5,32.7
2013,Negeri Sembilan,40 - 44,61.3,30.7,30.5
2013,Negeri Sembilan,45 - 49,59.9,28.9,30.9
2013,Negeri Sembilan,50 - 54,58.9,29.2,29.7
2013,Negeri Sembilan,55 - 59,51.8,25.7,26
2013,Negeri Sembilan,60 - 64,39.4,20,19.3
2013,Negeri Sembilan,65 - 69,26.1,12.8,13.3
2013,Negeri Sembilan,70 - 74,17.6,8.4,9.2
2013,Negeri Sembilan,75 - 79,12.6,5.9,6.7
2013,Negeri Sembilan,80 - 84,6.3,2.9,3.4
2013,Negeri Sembilan,85+,4.3,1.8,2.6
2013,Pahang,0 - 4,141.1,73.2,67.9
2013,Pahang,5 - 9,145.6,77,68.6
2013,Pahang,10 - 14,150,78.5,71.5
2013,Pahang,15 - 19,160.5,85.8,74.8
2013,Pahang,20 - 24,157.8,87.9,69.9
2013,Pahang,25 - 29,144.4,83.3,61.1
2013,Pahang,30 - 34,126.8,71.6,55.2
2013,Pahang,35 - 39,92.9,51.7,41.2
2013,Pahang,40 - 44,86,44.5,41.5
2013,Pahang,45 - 49,81.5,41.7,39.8
2013,Pahang,50 - 54,77.2,38.5,38.6
2013,Pahang,55 - 59,64.6,32.6,32
2013,Pahang,60 - 64,51.3,26.2,25.1
2013,Pahang,65 - 69,37.2,19.1,18.2
2013,Pahang,70 - 74,22.9,11.8,11.1
2013,Pahang,75 - 79,15.7,7.7,8
2013,Pahang,80 - 84,6.7,3.3,3.5
2013,Pahang,85+,6.4,3,3.4
2013,Penang,0 - 4,113.2,58.5,54.7
2013,Penang,5 - 9,117.1,60.2,56.9
2013,Penang,10 - 14,124.4,63,61.4
2013,Penang,15 - 19,137.9,69.8,68.1
2013,Penang,20 - 24,164.3,80.6,83.7
2013,Penang,25 - 29,167.8,85.2,82.6
2013,Penang,30 - 34,145.4,74.3,71.1
2013,Penang,35 - 39,123.3,62.7,60.5
2013,Penang,40 - 44,114.8,57.8,57
2013,Penang,45 - 49,103.6,51.4,52.2
2013,Penang,50 - 54,91.4,46.5,44.9
2013,Penang,55 - 59,78.8,38.9,39.9
2013,Penang,60 - 64,64.4,31.8,32.7
2013,Penang,65 - 69,47.6,23.3,24.3
2013,Penang,70 - 74,30.7,14.5,16.1
2013,Penang,75 - 79,20.6,9.7,11
2013,Penang,80 - 84,9.9,4.3,5.5
2013,Penang,85+,7.7,3.2,4.6
2013,Perak,0 - 4,179.7,92.1,87.7
2013,Perak,5 - 9,196.9,99.2,97.8
2013,Perak,10 - 14,232.6,116.8,115.8
2013,Perak,15 - 19,245.5,121.6,123.9
2013,Perak,20 - 24,242.1,126.8,115.3
