Year,State,Age Group,Total ('000),Male ('000),Female ('000)
2013,Perak,25 - 29,194.3,104.5,89.8
2013,Perak,30 - 34,149.5,79.3,70.1
2013,Perak,35 - 39,141,72.8,68.2
2013,Perak,40 - 44,141.1,70.7,70.5
2013,Perak,45 - 49,145.5,72.1,73.4
2013,Perak,50 - 54,140.1,70.4,69.7
2013,Perak,55 - 59,125.1,62.6,62.4
2013,Perak,60 - 64,105.9,52.2,53.6
2013,Perak,65 - 69,79.9,39,40.9
2013,Perak,70 - 74,54.4,26.3,28.1
2013,Perak,75 - 79,40.7,18.4,22.3
2013,Perak,80 - 84,20,8.9,11.1
2013,Perak,85+,12.9,6,6.9
2013,Perlis,0 - 4,21,10.8,10.2
2013,Perlis,5 - 9,19.7,10.1,9.6
2013,Perlis,10 - 14,20.4,10.3,10.1
2013,Perlis,15 - 19,26.5,13,13.5
2013,Perlis,20 - 24,28.6,15,13.6
2013,Perlis,25 - 29,19.5,10.4,9.1
2013,Perlis,30 - 34,14.8,7.4,7.3
2013,Perlis,35 - 39,12,5.7,6.3
2013,Perlis,40 - 44,12.6,5.8,6.8
2013,Perlis,45 - 49,13.9,6.7,7.2
2013,Perlis,50 - 54,13.3,6.5,6.8
2013,Perlis,55 - 59,11.6,5.6,6.1
2013,Perlis,60 - 64,9.6,4.6,5
2013,Perlis,65 - 69,7,3.4,3.6
2013,Perlis,70 - 74,4.9,2.4,2.6
2013,Perlis,75 - 79,3.5,1.6,1.9
2013,Perlis,80 - 84,1.8,0.7,1.1
2013,Perlis,85+,1.5,0.6,0.9
2013,Selangor,0 - 4,504.7,264.1,240.6
2013,Selangor,5 - 9,473,241.1,231.9
2013,Selangor,10 - 14,455.2,233.3,221.9
2013,Selangor,15 - 19,440.5,225,215.5
2013,Selangor,20 - 24,610.6,314.6,296
2013,Selangor,25 - 29,725,381.9,343.1
2013,Selangor,30 - 34,617.7,328.4,289.3
2013,Selangor,35 - 39,472.5,251.3,221.3
2013,Selangor,40 - 44,399.7,209.6,190.1
2013,Selangor,45 - 49,331.8,175,156.7
2013,Selangor,50 - 54,273.4,145.5,127.8
2013,Selangor,55 - 59,206,107.9,98.1
2013,Selangor,60 - 64,155.6,78.9,76.7
2013,Selangor,65 - 69,106.1,51.7,54.4
2013,Selangor,70 - 74,58.4,29.2,29.2
2013,Selangor,75 - 79,38.5,18.4,20.1
2013,Selangor,80 - 84,18.3,8.4,9.9
2013,Selangor,85+,17.6,7.9,9.7
2013,Terengganu,0 - 4,122,62.6,59.4
2013,Terengganu,5 - 9,112.6,57.9,54.7
2013,Terengganu,10 - 14,119.9,61.5,58.4
2013,Terengganu,15 - 19,120.9,61.7,59.2
2013,Terengganu,20 - 24,117.7,60.9,56.8
2013,Terengganu,25 - 29,92.9,49.4,43.6
2013,Terengganu,30 - 34,70,37.5,32.5
2013,Terengganu,35 - 39,60,30.1,29.9
2013,Terengganu,40 - 44,57.7,28.1,29.7
2013,Terengganu,45 - 49,56.9,27.6,29.3
2013,Terengganu,50 - 54,53.2,26.4,26.8
2013,Terengganu,55 - 59,42.5,21.3,21.2
2013,Terengganu,60 - 64,31.1,15.9,15.2
2013,Terengganu,65 - 69,22.3,11,11.3
2013,Terengganu,70 - 74,15.7,7.2,8.4
2013,Terengganu,75 - 79,9.2,4.3,5
2013,Terengganu,80 - 84,4.2,1.9,2.3
2013,Terengganu,85+,4.5,1.9,2.6
2013,Sabah,0 - 4,309.7,159,150.7
2013,Sabah,5 - 9,314.8,161.7,153.1
2013,Sabah,10 - 14,309.8,158.3,151.6
2013,Sabah,15 - 19,427.2,223.8,203.4
2013,Sabah,20 - 24,447.2,230.3,216.9
2013,Sabah,25 - 29,445.6,232.6,213.1
2013,Sabah,30 - 34,330.8,177.9,152.9
2013,Sabah,35 - 39,246.7,130.7,116
2013,Sabah,40 - 44,206.3,108.9,97.4
2013,Sabah,45 - 49,168.8,90.8,78
2013,Sabah,50 - 54,137.1,74.9,62.1
2013,Sabah,55 - 59,97.8,52.7,45.1
2013,Sabah,60 - 64,61.3,32.9,28.4
2013,Sabah,65 - 69,42.1,21.2,20.8
2013,Sabah,70 - 74,29.9,15.3,14.5
2013,Sabah,75 - 79,18.5,9.1,9.4
2013,Sabah,80 - 84,10,4.9,5.1
2013,Sabah,85+,7.8,3.8,4
2013,Sarawak,0 - 4,216.3,111.2,105.1
2013,Sarawak,5 - 9,238.8,120,118.8
2013,Sarawak,10 - 14,250.7,127.7,123
2013,Sarawak,15 - 19,254.2,130.6,123.6
2013,Sarawak,20 - 24,270.3,142.9,127.4
2013,Sarawak,25 - 29,242.9,130.6,112.3
2013,Sarawak,30 - 34,193.9,103.4,90.5
2013,Sarawak,35 - 39,173,91.3,81.7
2013,Sarawak,40 - 44,167.6,88.3,79.3
2013,Sarawak,45 - 49,151.7,80.7,71
2013,Sarawak,50 - 54,132.8,70.5,62.3
2013,Sarawak,55 - 59,108.6,58.2,50.4
2013,Sarawak,60 - 64,82.4,42.9,39.5
2013,Sarawak,65 - 69,60.7,31.6,29
2013,Sarawak,70 - 74,41.9,21.1,20.8
2013,Sarawak,75 - 79,26.8,13,13.9
2013,Sarawak,80 - 84,16.5,7.5,9
2013,Sarawak,85+,13.6,6.4,7.2
2013,W.P. Kuala Lumpur,0 - 4,125.4,64.3,61.1
2013,W.P. Kuala Lumpur,5 - 9,122.5,63.8,58.7
2013,W.P. Kuala Lumpur,10 - 14,119.2,61.2,58
2013,W.P. Kuala Lumpur,15 - 19,123.1,61.8,61.3
2013,W.P. Kuala Lumpur,20 - 24,173,87.2,85.8
2013,W.P. Kuala Lumpur,25 - 29,193.7,97,96.7
2013,W.P. Kuala Lumpur,30 - 34,180,92.5,87.5
2013,W.P. Kuala Lumpur,35 - 39,139.6,74.7,64.8
2013,W.P. Kuala Lumpur,40 - 44,119.7,58.5,61.3
2013,W.P. Kuala Lumpur,45 - 49,112,54.4,57.6
2013,W.P. Kuala Lumpur,50 - 54,94.4,51.6,42.8
2013,W.P. Kuala Lumpur,55 - 59,73.6,38.3,35.3
2013,W.P. Kuala Lumpur,60 - 64,55.5,28.6,26.9
2013,W.P. Kuala Lumpur,65 - 69,39,19.8,19.2
2013,W.P. Kuala Lumpur,70 - 74,24.2,12.2,12
2013,W.P. Kuala Lumpur,75 - 79,15.3,8,7.3
2013,W.P. Kuala Lumpur,80 - 84,7.2,3.5,3.8
2013,W.P. Kuala Lumpur,85+,5.8,2.8,3.1
2013,W.P. Labuan,0 - 4,9.2,4.8,4.4
2013,W.P. Labuan,5 - 9,9,4.7,4.3
2013,W.P. Labuan,10 - 14,8.2,4.1,4
2013,W.P. Labuan,15 - 19,8.1,3.9,4.2
2013,W.P. Labuan,20 - 24,8.6,4.1,4.5
2013,W.P. Labuan,25 - 29,10.8,5.5,5.3
2013,W.P. Labuan,30 - 34,10,5.2,4.8
2013,W.P. Labuan,35 - 39,5.9,3,2.9
2013,W.P. Labuan,40 - 44,5.5,2.7,2.8
2013,W.P. Labuan,45 - 49,4.8,2.5,2.3
2013,W.P. Labuan,50 - 54,4.1,2.3,1.8
2013,W.P. Labuan,55 - 59,2.9,1.6,1.3
2013,W.P. Labuan,60 - 64,1.8,1,0.8
2013,W.P. Labuan,65 - 69,1.1,0.6,0.5
2013,W.P. Labuan,70 - 74,0.6,0.3,0.3
2013,W.P. Labuan,75 - 79,0.4,0.2,0.2
2013,W.P. Labuan,80 - 84,0.2,0.1,0.1
2013,W.P. Labuan,85+,0.3,0.1,0.1
2013,W.P. Putrajaya,0 - 4,13.9,7.3,6.6
2013,W.P. Putrajaya,5 - 9,8,3.7,4.2
2013,W.P. Putrajaya,10 - 14,6.1,2.9,3.1
2013,W.P. Putrajaya,15 - 19,4.1,2.2,2
2013,W.P. Putrajaya,20 - 24,4.7,1.9,2.7
2013,W.P. Putrajaya,25 - 29,10.9,4.4,6.6
2013,W.P. Putrajaya,30 - 34,13,5.3,7.7
2013,W.P. Putrajaya,35 - 39,5.6,2.7,2.9
2013,W.P. Putrajaya,40 - 44,3.5,1.8,1.8
2013,W.P. Putrajaya,45 - 49,3.1,1.5,1.6
2013,W.P. Putrajaya,50 - 54,3.1,1.6,1.5
2013,W.P. Putrajaya,55 - 59,2.3,1.1,1.1
2013,W.P. Putrajaya,60 - 64,0.8,0.4,0.3
2013,W.P. Putrajaya,65 - 69,0.3,0.1,0.1
2013,W.P. Putrajaya,70 - 74,0.1,0.1,0.1
2013,W.P. Putrajaya,75 - 79,0.1,0.1,0.1
2013,W.P. Putrajaya,80 - 84,0,0,0
2013,W.P. Putrajaya,85+,0.1,0,0.1
